,city,popu_string
243,Кыштым,37480.0
244,Тутаев,40441.0
245,Мыски,41628.0
246,Снежинск,50759.0
247,Дюртюли,30858.0
248,Сорочинск,27912.0
249,Невьянск,23200.0
250,Донской,63842.0
251,Приморско-Ахтарск,32048.0
252,Калач-на-Дону,24237.0
253,Острогожск,32714.0
254,Нижнеудинск,33954.0
255,Мариинск,39091.0
256,Аша,29946.0
257,Тулун,41671.0
258,Ирбит,37280.0
259,Сухой Лог,33689.0
260,Полевской,61853.0
261,Нововоронеж,31607.0
262,Брюховецкая,22139.0
263,Заинск,40635.0
264,Северская,24867.0
265,Заводоуковск,26006.0
266,Староминская,29809.0
267,Богородицк,31263.0
268,Богданович,29241.0
269,Карпинск,26571.0
270,Мостовской,24975.0
271,Павловск,17653.0
272,Карталы,28577.0
273,Калач,
274,Красный Сулин,38567.0
275,Морозовск,25467.0
276,Советский,29456.0
277,Кудымкар,31265.0
278,Новый Оскол,18856.0
279,Новотроицк,95139.0
280,Выселки,
281,Тбилисская,25317.0
282,Зерноград,24886.0
283,Реж,37152.0
284,Похвистнево,28223.0
285,Зима,
286,Радужный,43157.0
287,Верхний Уфалей,27879.0
288,Балтийск,33181.0
289,Карасук,27196.0
290,Учалы,37715.0
291,Новокубанск,35287.0
292,Нефтекумск,24763.0
293,Усть-Катав,22536.0
294,Новоалександровск,26997.0
295,Ершов,
296,Новая Усмань,29270.0
297,Бобров,
298,Арамиль,15162.0
299,Железноводск,24912.0
300,Покров,
301,Петушки,
302,Лесосибирск,59642.0
303,Сысерть,20962.0
304,Семенов,24536.0
305,Аткарск,25384.0
306,Семикаракорск,22118.0
307,Благодарный,31100.0
308,Алапаевск,37526.0
309,Семилуки,26797.0
310,Топки,27963.0
311,Янаул,25747.0
312,Ипатово,24021.0
313,Лысково,21293.0
314,Полтавская,26520.0
315,Петровск,29376.0
316,Соль-Илецк,27189.0
317,Заречный,
318,Талнах,
319,Добрянка,33083.0
320,Киреевск,24642.0
321,Отрадная,
322,Артемовский,30778.0
323,Североуральск,26288.0
324,Тара,28116.0
325,Камышлов,26444.0
326,Качканар,38996.0
327,Александровское,741717.0
328,Кимовск,26093.0
329,Афипский,21499.0
330,Новоаннинский,16436.0
331,Благовещенск,225091.0
332,Средняя Ахтуба,14477.0
333,Губаха,20289.0
334,Юрьев-Польский,18610.0
335,Кувандык,24131.0
336,Тайшет,33364.0
337,Безенчук,22618.0
338,Светлый,22140.0
339,Зеленоградск,15493.0
340,Котово,22450.0
341,Богучар,11295.0
342,Лакинск,14568.0
343,Ильский,25502.0
344,Полысаево,26510.0
345,Жирновск,15872.0
346,Калачинск,22781.0
347,Касли,16263.0
348,Нурлат,32954.0
349,Бутурлиновка,24670.0
350,Трехгорный,32355.0
351,Алейск,28972.0
352,Чернянка,14909.0
353,Белоярский,20142.0
354,Кочубеевское,25679.0
355,Еманжелинск,29077.0
356,Барабинск,29122.0
357,Суздаль,9749.0
358,Среднеуральск,23353.0
359,Дивногорск,29117.0
360,Новопавловск,26238.0
361,Сергач,20416.0
362,Иглино,16811.0
363,Красноуфимск,38395.0
364,Суворов,
365,Оса,
366,Собинка,18059.0
367,Ува,20553.0
368,Котельниково,20381.0
369,Палласовка,14940.0
370,Буинск,20905.0
371,Давлеканово,23774.0
372,Светлогорск,13030.0
373,Лермонтов,
374,Калтан,20947.0
375,Калининск,15841.0
376,Анна,
377,Городище,
378,Пойковский,26436.0
379,Судогда,10527.0
380,Заокский,6709.0
381,Короча,5888.0
382,Ясногорск,15741.0
383,Нытва,18804.0
384,Хадыженск,22468.0
385,Кукмор,17700.0
386,Гвардейск,13186.0
387,Новотитаровская,24754.0
388,Катав-Ивановск,16088.0
389,Камешково,12711.0
390,Федоровский,23375.0
391,Кушва,28060.0
392,Суровикино,18954.0
393,Черепаново,19612.0
394,Кировград,19712.0
395,Иноземцево кп,
396,Менделеевск,22203.0
397,Верещагино,22194.0
398,Бавлы,22258.0
399,Меленки,14013.0
400,Венев,14211.0
401,Зверево,19456.0
402,Яровое,18092.0
403,Верхняя Салда,42166.0
404,Шахунья,20183.0
405,Пионерский,11352.0
406,Арск,20419.0
407,Борисовка,
408,Новопокровская,19684.0
409,Вихоревка,21279.0
410,Красноуральск,22996.0
411,Белая Глина,16870.0
412,Константиновск,17317.0
413,Тамань,10027.0
414,Пласт,17648.0
415,Чишмы,22408.0
416,Нижняя Тура,20217.0
417,Раевский,
418,Красноармейск,11501.0
419,Рамонь,8404.0
420,Приютово,19653.0
421,Гаврилов-Ям,17351.0
422,Тальменка,19157.0
423,Чертково,10662.0
424,Мамадыш,15699.0
425,Обь,
426,Березовка,10478.0
427,Старощербиновская,17083.0
428,Урень,12385.0
429,Тавда,33356.0
430,Орловский,315308.0
431,Очер,14240.0
432,Куса,17368.0
433,Юрюзань,
434,Дегтярск,16141.0
435,Бирюч,7205.0
436,Медногорск,25610.0
437,Октябрьск,113929.0
438,Завьялово,9243.0
439,Абдулино,19222.0
440,Аргаяш,10293.0
441,Зеленогорск,62466.0
442,Черноморский,59724.0
443,Линево,18468.0
444,Ессентукская,20166.0
445,Таштагол,23107.0
446,Николаевск,41056.0
447,Гороховец,12948.0
448,Пролетарск,19290.0
449,Баймак,17529.0
450,Калининская,
451,Навашино,15051.0
452,Крыловская,
453,Слюдянка,18241.0
454,Ужур,15568.0
455,Красный Кут,14718.0
456,Ровеньки,46734.0
457,Зимовники,18070.0
458,Цимлянск,14558.0
459,Шушенское,17142.0
460,Саракташ,17588.0
461,Курагино,
462,Тайга,
463,Краснослободск,17405.0
464,Плавск,15870.0
465,Холмская,17585.0
466,Железногорск-Илимский,23643.0
467,Кинель-Черкассы,17252.0
468,Дубовка,14165.0
469,Данилов,14868.0
470,Матвеев-Курган,15489.0
471,Боготол,20245.0
472,Месягутово,38395.0
473,Ленинск,96921.0
474,Дивное,
475,Краснообск,23768.0
476,Высокая Гора,9589.0
477,Волоконовка,10760.0
478,Красная Поляна,4789.0
479,Архипо-Осиповка,7853.0
480,Ладожская,
481,Варениковская,14881.0
482,Джубга кп,899541.0
483,Ахтырский,21067.0
484,Черлак,10472.0
485,Балезино,14772.0
486,Елань,
487,Промышленная,17821.0
488,Емельяново,
489,Талица,15874.0
490,Поворино,17095.0
491,Усть-Донецкий,11256.0
492,Грайворон,6404.0
493,Нижнесортымский,12485.0
494,Исилькуль,23151.0
495,Кизел,15572.0
496,Аркадак,11986.0
497,Новосергиевка,13737.0
498,Лукоянов,14136.0
499,Таловая,
500,Курская,448733.0
501,Тетюши,11337.0
502,Покачи,17905.0
503,Иловля,
504,Неман,
505,Москаленки,9271.0
506,Прохоровка,9081.0
507,Егорлыкская,17660.0
508,Белев,13362.0
509,Вешенская,9261.0
510,Игра,
511,Уруссу,10570.0
512,Солнечнодольск,11707.0
513,Старовеличковская,13459.0
514,Вейделевка,6431.0
515,Мензелинск,17153.0
516,Целина,
517,Октябрьское,
518,Первомайск,38235.0
519,Багратионовск,6409.0
520,Иланский,15013.0
521,Багаевская,15459.0
522,Нефтегорск,18119.0
523,Струнино,13281.0
524,Медведовская,16793.0
525,Енисейск,17999.0
526,Байкальск,12738.0
527,Горнозаводск,11477.0
528,Бодайбо,13104.0
529,Борское,78385.0
530,Упорово,6417.0
531,Голышманово,14336.0
532,Кармаскалы,8540.0
533,Курсавка,11215.0
534,Исетское,7479.0
535,Новомихайловский кп,
536,Ардатов,8734.0
537,Агрыз,19704.0
538,Алтайское,
539,Куеда,
540,Чкаловск,50000.0
541,Буздяк,10323.0
542,Горняк,12972.0
543,Ракитное,10504.0
544,Перевоз,8928.0
545,Боровский,10966.0
546,Рефтинский,16020.0
547,Ордынское,9727.0
548,Верхнеяркеево,9384.0
549,Степное,103132.0
550,Агидель,15281.0
551,Карабаново,14817.0
552,Верхнеуральск,9312.0
553,Усть-Ордынский,14557.0
554,Дудинка,21513.0
555,Починки,
556,Полазна,13021.0
557,Барда,38.0
558,Васильево,
559,Нязепетровск,11752.0
560,Ворсма,10589.0
561,Любинский,10435.0
562,Чалтырь,15334.0
563,Тоцкое,6898.0
564,Хвалынск,12556.0
565,Дивеево,6408.0
566,Излучинск,19597.0
567,Хомутово,
568,Тюльган,9189.0
569,Тацинская,9533.0
570,Нестеров,4086.0
571,Разумное,
572,Еткуль,6740.0
573,Залари,9576.0
574,Азово,
575,Новониколаевский,
576,Тоцкое Второе,
577,Суходол,9749.0
578,Тюкалинск,10326.0
579,Суксун,8127.0
580,Камбарка,10477.0
581,Кумылженская,7953.0
582,Чекмагуш,11382.0
583,Воротынец,6154.0
584,Псебай,10533.0
585,Ветлуга,8501.0
586,Красновишерск,15587.0
587,Уйское,
588,Донское,
589,Грибановский,15040.0
590,Лаишево,8518.0
591,Ясный,15675.0
592,Ольховатка,3416.0
593,Алексеевское,53678.0
594,Кандры,10885.0
595,Новохоперск,6188.0
596,Таврическое,
597,Поспелиха,34388.0
598,Кушнаренково,9870.0
599,Джалиль,
600,Тогучин,21159.0
601,Самарское,
602,Казанское,
603,Верхотурье,8651.0
604,Долгодеревенское,7700.0
605,Серафимович,
606,Полесск,7041.0
607,Красногвардейское,7205.0
608,Тарасовский,9017.0
609,Смоленская,330025.0
610,Володарск,10021.0
611,Бородино,16249.0
612,Левокумское,9713.0
613,Большеречье,
614,Татарск,23956.0
615,Ставрово,7458.0
616,Кодинск,16312.0
617,Шигоны,5309.0
618,Александровск,741717.0
619,Пластуновская,12069.0
620,Бачатский,14028.0
621,Ивня,7403.0
622,Свирск,13110.0
623,Кантемировка,11060.0
624,Красногорский,161525.0
625,Змеиногорск,10533.0
626,Чернь,
627,Бураево,9522.0
628,Варна,367171.0
629,Вача,5283.0
630,Подгоренский,5758.0
631,Каменоломни,
632,Толбазы,10114.0
633,Болохово,9093.0
634,Увельский,10500.0
635,Сарманово,9043.0
636,Бакал,19590.0
637,Карабаш,11178.0
638,Майский,27074.0
639,Гай,35255.0
640,Пролетарский,19290.0
641,Верхний Мамон,8561.0
642,Красноусольский,11991.0
643,Мраково,8690.0
644,Марьяновка,
645,Краснознаменск,41769.0
646,Сергиевск,8661.0
647,Борисоглебский,62669.0
648,Витязево,7936.0
649,Кулунда,15102.0
650,Костерево,8340.0
651,Пестрецы,8102.0
652,Балтаси,8241.0
653,Заозерный,10286.0
654,Кондратово,10023.0
655,Переволоцкий,9598.0
656,Красная Яруга,8168.0
657,Красные Баки,7818.0
658,Большая Мартыновка,6158.0
659,Кольцово,
660,Волчанск,8722.0
661,Миасское,9755.0
662,Яйва,9996.0
663,Актаныш,9615.0
664,Песчанокопское,10593.0
665,Уяр,12074.0
666,Красная Горбатка,8113.0
667,Дубна,75144.0
668,Карагай,
669,Малая Пурга,7768.0
670,Аксубаево,9905.0
671,Липки,8976.0
672,Северо-Задонск,
673,Черемшан,6596.0
674,Грачевка,
675,Верхние Татышлы,6645.0
676,Успенское,
677,Первомайский,
678,Васюринская,13339.0
679,Некрасовское,5897.0
680,Ивантеевка,76612.0
681,Камские Поляны,15399.0
682,Киргиз-Мияки,7473.0
683,Нехаевская,4679.0
684,Мамонтово,40798.0
685,Шатки,8796.0
686,Кагальницкая,6831.0
687,Казанская,
688,Алнаши,5964.0
689,Воскресенское,93565.0
690,Арзгир,14722.0
691,Винзили,12989.0
692,Бреды,
693,Старонижестеблиевская,10260.0
694,Смоленское,330025.0
695,Правдинск,4171.0
696,Эртиль,10410.0
697,Междуреченский,97060.0
698,Княгинино,7062.0
699,Называевск,11249.0
700,Новоминская,11971.0
701,Кез,10911.0
702,Верхний Тагил,11171.0
703,Семибратово,6770.0
704,Кормиловка,9783.0
705,Тяжинский,10121.0
706,Новомышастовская,10032.0
707,Богатые Сабы,8670.0
708,Хохольский,7575.0
709,Акбулак,13918.0
710,Кабардинка,7550.0
711,Новодмитриевская,5244.0
712,Богатое,360590.0
713,Новоселицкое,8643.0
714,Рыбная Слобода,7787.0
715,Пошехонье,5867.0
716,Рыздвяный,7489.0
